TestName,LongName,explanatoryText,RunTest,Visualize,runSerologyTest,pooledTests,runContactTracing,parties,nCycles,cyclesPerDay,testingLag,startingSusceptible,startingExposed,startingAsymptomatics,startingQuarantineSusc,startingQuarantineExp,startingQuarantineAsymp,startingFPs,startingTPs,startingImmuneFPs,startingSymptomatic,startingRecovered,startinghiddenRecovered,startingDeaths,startingTestingCost,infectionRate,conditionalInfectionProb,avgNonPodContacts,intraPodInfectionProb,incubationTime,recoveryTime,symptomDevelopmentProportion,conditionalMortality,exogeneousShockRate,exogeneousShockSize,ssEventDate,ssEventSize,partyRate,partySize,contactsPerParty,testPCRSensitivity,testPCRSpecificity,testSerSensitivity,testSerSpecificity,testPCRCost,testSerCost,testConfCost,falsePositiveReturnTime,testingTime,firstTestDelay,podSize,maxContactsTraced,contactTracingAccuracy,contactTracingWindow,contactTracingDelay,contactTracingResponseRate,ctDoubleCountAdjustment,ctQuarTime
Illinois_26_0,Illinois_26_0,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51974,0,26,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,25,0,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_52_0,Illinois_52_0,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51948,0,52,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,25,0,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_130_0,Illinois_130_0,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51870,0,130,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,25,0,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_260_0,Illinois_260_0,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51740,0,260,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,25,0,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_520_0,Illinois_520_0,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51480,0,520,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,25,0,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_1040_0,Illinois_1040_0, ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,50960,0,1040,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,25,0,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_26_0_SS,Illinois_26_0_SS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51974,0,26,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,10,520,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_52_0_SS,Illinois_52_0_SS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51948,0,52,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,10,520,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_130_0_SS,Illinois_130_0_SS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51870,0,130,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,10,520,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_260_0_SS,Illinois_260_0_SS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51740,0,260,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,10,520,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_520_0_SS,Illinois_520_0_SS,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,51480,0,520,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,10,520,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
Illinois_1040_0_SS,Illinois_1040_0_SS, ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,50960,0,1040,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0,10,520,0,0,0,1,1,0.7,1,25,5,50,1,3.5,2,15,10,0,0,0,0.5,0.8,4
